Dataset,Stage,MSE,PSNR,SSIM
Clean,Baseline,0.0,120.0,1.0
Clean,Model,0.018135756686487606,17.886681948159843,0.8003114648010872
Gaussian Blur,Baseline,0.012830275182750926,19.08681531511563,0.8045572665373261
Gaussian Blur,Model,0.02208545690231182,17.01430951288494,0.7535036601865017
Salt & Pepper,Baseline,0.04809982583390795,13.212992594332281,0.5845782193235726
Salt & Pepper,Model,0.021979925253723873,16.996860802498016,0.7103150523918464
Speckle,Baseline,0.006254252966624987,22.389658466987786,0.957844810862101
Speckle,Model,0.019308099446311636,17.587603303915888,0.7876227084890032
