image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
400,7,Clean,0.0,120.0,1.0,0.012239035190152693,19.122528165129896,0.8347825750983833
401,8,Clean,0.0,120.0,1.0,0.028976235192351894,15.379580419635452,0.7627761970651679
402,2,Clean,0.0,120.0,1.0,0.015440365864399066,18.113424131319462,0.8584176340375715
403,7,Clean,0.0,120.0,1.0,0.02358165959203815,16.274256340881802,0.8001114380006858
404,6,Clean,0.0,120.0,1.0,0.01718449156749923,17.648633126798536,0.8293206160858088
405,0,Clean,0.0,120.0,1.0,0.026332748606399288,15.795038069672074,0.7935354998837075
406,7,Clean,0.0,120.0,1.0,0.012633288580359,18.984835832215815,0.8313105329409957
407,1,Clean,0.0,120.0,1.0,0.008944980245353477,20.484206142182906,0.8199678159995354
408,0,Clean,0.0,120.0,1.0,0.016127854551742628,17.924234018801798,0.8898568917492458
409,9,Clean,0.0,120.0,1.0,0.017079820588880263,17.675166955714005,0.7795731707587364
410,1,Clean,0.0,120.0,1.0,0.005805099556991766,22.3619032774601,0.872451117054722
411,6,Clean,0.0,120.0,1.0,0.021027842588987364,16.772052826993637,0.8170658126803401
412,0,Clean,0.0,120.0,1.0,0.014595384763852257,18.357844516444292,0.8716279078763366
413,7,Clean,0.0,120.0,1.0,0.01640639069166731,17.84986950641018,0.7637448011643839
414,6,Clean,0.0,120.0,1.0,0.016551552426802875,17.811612660106306,0.7759497694832179
415,9,Clean,0.0,120.0,1.0,0.022045840617020755,16.566733366937175,0.7765667316964914
416,1,Clean,0.0,120.0,1.0,0.0065610429621337524,21.830271184450275,0.8444495833850751
417,7,Clean,0.0,120.0,1.0,0.02198193982648326,16.579339853081336,0.6290960205478158
418,6,Clean,0.0,120.0,1.0,0.021329225619370996,16.710249117957204,0.8299791537066495
419,7,Clean,0.0,120.0,1.0,0.011207755389187205,19.504813561560326,0.8754030722598227
420,4,Clean,0.0,120.0,1.0,0.02973951625981989,15.26666099949892,0.6921459585022953
421,0,Clean,0.0,120.0,1.0,0.017117284250418734,17.66565137358299,0.8440650052824535
422,2,Clean,0.0,120.0,1.0,0.022442378101540775,16.489311250605013,0.6939073514503326
423,5,Clean,0.0,120.0,1.0,0.016717211986222502,17.768361503396232,0.7830494801649311
424,5,Clean,0.0,120.0,1.0,0.01965333438365012,17.065637566590283,0.8111139957070872
425,0,Clean,0.0,120.0,1.0,0.012701557382727182,18.96143025401734,0.8385582772064348
426,2,Clean,0.0,120.0,1.0,0.033769417423228774,14.714764315783707,0.7131789661850583
427,7,Clean,0.0,120.0,1.0,0.010813385859570864,19.660382995813105,0.8299313070837214
428,1,Clean,0.0,120.0,1.0,0.00515914350200575,22.874223920215385,0.8886801480569569
429,8,Clean,0.0,120.0,1.0,0.024116716546382526,16.17681821028409,0.7656996231262084
